course,race_number,time,html_link
gawler,3,2024-12-29 07:36:08,https://swiftbet.com.au//racing/greyhounds/gawler/race-3-1963654-1088208
gawler,4,2024-12-29 07:57:08,https://swiftbet.com.au//racing/greyhounds/gawler/race-4-1963659-1088208
gawler,5,2024-12-29 08:13:08,https://swiftbet.com.au//racing/greyhounds/gawler/race-5-1963665-1088208
gawler,6,2024-12-29 08:33:08,https://swiftbet.com.au//racing/greyhounds/gawler/race-6-1963672-1088208
gawler,7,2024-12-29 08:49:08,https://swiftbet.com.au//racing/greyhounds/gawler/race-7-1963681-1088208
gawler,8,2024-12-29 09:08:08,https://swiftbet.com.au//racing/greyhounds/gawler/race-8-1963689-1088208
gawler,9,2024-12-29 09:28:08,https://swiftbet.com.au//racing/greyhounds/gawler/race-9-1963704-1088208
gawler,10,2024-12-29 09:43:08,https://swiftbet.com.au//racing/greyhounds/gawler/race-10-1963713-1088208
gawler,11,2024-12-29 10:02:08,https://swiftbet.com.au//racing/greyhounds/gawler/race-11-1963724-1088208
gawler,12,2024-12-29 10:23:08,https://swiftbet.com.au//racing/greyhounds/gawler/race-12-1963735-1088208
mount-gambier,1,2024-12-29 01:19:08,https://swiftbet.com.au//racing/greyhounds/mount-gambier/race-1-1963800-1088225
mount-gambier,2,2024-12-29 01:38:08,https://swiftbet.com.au//racing/greyhounds/mount-gambier/race-2-1963807-1088225
mount-gambier,3,2024-12-29 01:53:08,https://swiftbet.com.au//racing/greyhounds/mount-gambier/race-3-1963813-1088225
mount-gambier,4,2024-12-29 02:15:08,https://swiftbet.com.au//racing/greyhounds/mount-gambier/race-4-1963821-1088225
mount-gambier,5,2024-12-29 02:43:08,https://swiftbet.com.au//racing/greyhounds/mount-gambier/race-5-1963829-1088225
mount-gambier,6,2024-12-29 03:08:08,https://swiftbet.com.au//racing/greyhounds/mount-gambier/race-6-1963833-1088225
mount-gambier,7,2024-12-29 03:27:08,https://swiftbet.com.au//racing/greyhounds/mount-gambier/race-7-1963837-1088225
mount-gambier,8,2024-12-29 03:42:08,https://swiftbet.com.au//racing/greyhounds/mount-gambier/race-8-1963838-1088225
mount-gambier,9,2024-12-29 04:02:08,https://swiftbet.com.au//racing/greyhounds/mount-gambier/race-9-1963840-1088225
mount-gambier,10,2024-12-29 04:19:08,https://swiftbet.com.au//racing/greyhounds/mount-gambier/race-10-1963842-1088225
mount-gambier,11,2024-12-29 04:41:08,https://swiftbet.com.au//racing/greyhounds/mount-gambier/race-11-1963843-1088225
mount-gambier,12,2024-12-29 04:56:08,https://swiftbet.com.au//racing/greyhounds/mount-gambier/race-12-1963845-1088225
healesville,1,2024-12-29 00:04:08,https://swiftbet.com.au//racing/greyhounds/healesville/race-1-1964129-1088257
healesville,2,2024-12-29 00:21:08,https://swiftbet.com.au//racing/greyhounds/healesville/race-2-1964131-1088257
healesville,3,2024-12-29 00:38:08,https://swiftbet.com.au//racing/greyhounds/healesville/race-3-1964134-1088257
healesville,4,2024-12-29 00:56:08,https://swiftbet.com.au//racing/greyhounds/healesville/race-4-1964138-1088257
healesville,5,2024-12-29 01:13:08,https://swiftbet.com.au//racing/greyhounds/healesville/race-5-1964141-1088257
healesville,6,2024-12-29 01:29:08,https://swiftbet.com.au//racing/greyhounds/healesville/race-6-1964144-1088257
healesville,7,2024-12-29 01:50:08,https://swiftbet.com.au//racing/greyhounds/healesville/race-7-1964147-1088257
healesville,8,2024-12-29 02:12:08,https://swiftbet.com.au//racing/greyhounds/healesville/race-8-1964149-1088257
healesville,9,2024-12-29 02:36:08,https://swiftbet.com.au//racing/greyhounds/healesville/race-9-1964152-1088257
healesville,10,2024-12-29 02:57:08,https://swiftbet.com.au//racing/greyhounds/healesville/race-10-1964154-1088257
healesville,11,2024-12-29 03:20:08,https://swiftbet.com.au//racing/greyhounds/healesville/race-11-1964156-1088257
healesville,12,2024-12-29 03:39:08,https://swiftbet.com.au//racing/greyhounds/healesville/race-12-1964158-1088257
richmond,1,2024-12-29 06:53:08,https://swiftbet.com.au//racing/greyhounds/richmond/race-1-1963847-1088228
richmond,2,2024-12-29 07:12:08,https://swiftbet.com.au//racing/greyhounds/richmond/race-2-1963849-1088228
richmond,3,2024-12-29 07:31:08,https://swiftbet.com.au//racing/greyhounds/richmond/race-3-1963852-1088228
richmond,4,2024-12-29 07:54:08,https://swiftbet.com.au//racing/greyhounds/richmond/race-4-1963856-1088228
richmond,5,2024-12-29 08:16:08,https://swiftbet.com.au//racing/greyhounds/richmond/race-5-1963859-1088228
richmond,6,2024-12-29 08:39:08,https://swiftbet.com.au//racing/greyhounds/richmond/race-6-1963862-1088228
richmond,7,2024-12-29 08:59:08,https://swiftbet.com.au//racing/greyhounds/richmond/race-7-1963867-1088228
richmond,8,2024-12-29 09:22:08,https://swiftbet.com.au//racing/greyhounds/richmond/race-8-1963871-1088228
richmond,9,2024-12-29 09:41:08,https://swiftbet.com.au//racing/greyhounds/richmond/race-9-1963875-1088228
richmond,10,2024-12-29 10:05:08,https://swiftbet.com.au//racing/greyhounds/richmond/race-10-1963877-1088228
richmond,11,2024-12-29 10:30:08,https://swiftbet.com.au//racing/greyhounds/richmond/race-11-1963879-1088228
richmond,12,2024-12-29 10:49:08,https://swiftbet.com.au//racing/greyhounds/richmond/race-12-1963883-1088228
