course,race_number,time,html_link
moonee-valley,1,2024-12-28 01:14:23,https://swiftbet.com.au//racing/gallops/moonee-valley/race-1-1963207-1088174
moonee-valley,2,2024-12-28 01:44:23,https://swiftbet.com.au//racing/gallops/moonee-valley/race-2-1963214-1088174
moonee-valley,3,2024-12-28 02:19:23,https://swiftbet.com.au//racing/gallops/moonee-valley/race-3-1963220-1088174
moonee-valley,4,2024-12-28 02:54:23,https://swiftbet.com.au//racing/gallops/moonee-valley/race-4-1963226-1088174
moonee-valley,5,2024-12-28 03:29:23,https://swiftbet.com.au//racing/gallops/moonee-valley/race-5-1963228-1088174
moonee-valley,6,2024-12-28 04:04:23,https://swiftbet.com.au//racing/gallops/moonee-valley/race-6-1963232-1088174
moonee-valley,7,2024-12-28 04:44:23,https://swiftbet.com.au//racing/gallops/moonee-valley/race-7-1963240-1088174
moonee-valley,8,2024-12-28 05:19:23,https://swiftbet.com.au//racing/gallops/moonee-valley/race-8-1963248-1088174
moonee-valley,9,2024-12-28 05:59:23,https://swiftbet.com.au//racing/gallops/moonee-valley/race-9-1963258-1088174
moonee-valley,10,2024-12-28 06:39:23,https://swiftbet.com.au//racing/gallops/moonee-valley/race-10-1963266-1088174
randwick,1,2024-12-28 02:04:23,https://swiftbet.com.au//racing/gallops/randwick/race-1-1962992-1088150
randwick,2,2024-12-28 02:39:23,https://swiftbet.com.au//racing/gallops/randwick/race-2-1962993-1088150
randwick,3,2024-12-28 03:14:23,https://swiftbet.com.au//racing/gallops/randwick/race-3-1962994-1088150
randwick,4,2024-12-28 03:49:23,https://swiftbet.com.au//racing/gallops/randwick/race-4-1962995-1088150
randwick,5,2024-12-28 04:24:23,https://swiftbet.com.au//racing/gallops/randwick/race-5-1962996-1088150
randwick,6,2024-12-28 04:59:23,https://swiftbet.com.au//racing/gallops/randwick/race-6-1962997-1088150
randwick,7,2024-12-28 05:39:23,https://swiftbet.com.au//racing/gallops/randwick/race-7-1962998-1088150
randwick,8,2024-12-28 06:19:23,https://swiftbet.com.au//racing/gallops/randwick/race-8-1962999-1088150
randwick,9,2024-12-28 06:54:23,https://swiftbet.com.au//racing/gallops/randwick/race-9-1963000-1088150
eagle-farm,1,2024-12-28 02:12:23,https://swiftbet.com.au//racing/gallops/eagle-farm/race-1-1963252-1088179
eagle-farm,2,2024-12-28 02:47:23,https://swiftbet.com.au//racing/gallops/eagle-farm/race-2-1963265-1088179
eagle-farm,3,2024-12-28 03:22:23,https://swiftbet.com.au//racing/gallops/eagle-farm/race-3-1963273-1088179
eagle-farm,4,2024-12-28 03:57:23,https://swiftbet.com.au//racing/gallops/eagle-farm/race-4-1963280-1088179
eagle-farm,5,2024-12-28 04:36:23,https://swiftbet.com.au//racing/gallops/eagle-farm/race-5-1963285-1088179
eagle-farm,6,2024-12-28 05:11:23,https://swiftbet.com.au//racing/gallops/eagle-farm/race-6-1963290-1088179
eagle-farm,7,2024-12-28 05:51:23,https://swiftbet.com.au//racing/gallops/eagle-farm/race-7-1963293-1088179
eagle-farm,8,2024-12-28 06:31:23,https://swiftbet.com.au//racing/gallops/eagle-farm/race-8-1963295-1088179
eagle-farm,9,2024-12-28 07:07:23,https://swiftbet.com.au//racing/gallops/eagle-farm/race-9-1963297-1088179
eagle-farm,10,2024-12-28 07:43:23,https://swiftbet.com.au//racing/gallops/eagle-farm/race-10-1963299-1088179
morphettville,1,2024-12-28 01:56:23,https://swiftbet.com.au//racing/gallops/morphettville/race-1-1962925-1088143
morphettville,2,2024-12-28 02:31:23,https://swiftbet.com.au//racing/gallops/morphettville/race-2-1962933-1088143
morphettville,3,2024-12-28 03:06:23,https://swiftbet.com.au//racing/gallops/morphettville/race-3-1962937-1088143
morphettville,4,2024-12-28 03:41:23,https://swiftbet.com.au//racing/gallops/morphettville/race-4-1962939-1088143
morphettville,5,2024-12-28 04:16:23,https://swiftbet.com.au//racing/gallops/morphettville/race-5-1962941-1088143
